puesto,empresa,info_completa,enlace,ciudad
Data Engineer,Second Window,100% remoto - 19/03/202633.000€ - 45.000€ b/a,https://www.tecnoempleo.com/data-engineer-second-window/aws-python/rf-82141a0ce20e53d2f146,100% remoto - 19/03/202633.000€ - 45.000€ b/a
Data Analyst,Veepee,Barcelona - 05/03/2026,https://www.tecnoempleo.com/data-analyst-veepee/sql-dbt/rf-4a31123f129ef3139d41,Barcelona - 05/03/2026
Data Analyst,EY,Málaga (Híbrido) - 18/02/2026,https://www.tecnoempleo.com/data-analyst-ey/power-bi-qlik/rf-c02218e682c1c3be2d49,Málaga
Sourcing Data Analyst,Veepee,Barcelona - 03/02/2026,https://www.tecnoempleo.com/sourcing-data-analyst-veepee/microstrategy-sql/rf-aff810c5822ca3ce1a48,Barcelona - 03/02/2026
Data Analyst,Plexus,100% remoto - 19/12/2025,https://www.tecnoempleo.com/data-analyst-plexus/etl-python/rf-1b771133423633894845,100% remoto - 19/12/2025
Data Analyst. 100% Teletrabajo,Second Window,Madrid - 27/10/2025,https://www.tecnoempleo.com/data-analyst-100-teletrabajo-second-window/apache-spark-python-aws/rf-560210a342a37394d34b,Madrid - 27/10/2025
Lead Data Analyst,Plexus,Madrid - 29/07/2025,https://www.tecnoempleo.com/lead-data-analyst-plexus/sql/rf-4f7b1faa22be13248f44,Madrid - 29/07/2025
Senior Data Analyst (English Mandatory),Sopra Steria,Barcelona - 22/07/2025,https://www.tecnoempleo.com/senior-data-analyst-english-mandatory-sopra-steria/sql-python/rf-36661856d23fa3a55743,Barcelona - 22/07/2025
Lead Data Analyst,Plexus,Madrid - 04/07/2025,https://www.tecnoempleo.com/lead-data-analyst-plexus/sql/rf-1b351b6ea254c31b824c,Madrid - 04/07/2025
Data Analyst,Plexus,100% remoto - 13/06/2025,https://www.tecnoempleo.com/data-analyst-plexus/microstrategy/rf-2e1e150c62808394c042,100% remoto - 13/06/2025
Data Analyst,Plexus,Madrid - 30/05/2025,https://www.tecnoempleo.com/data-analyst-plexus/tableau-looker-power-bi-ga4-sql/rf-73321c7bf2da63a99742,Madrid - 30/05/2025
PowerBI Junior Data Analyst,Plexus,100% remoto - 23/05/2025,https://www.tecnoempleo.com/powerbi-junior-data-analyst-plexus/powerbi-power-bi-sql/rf-53141306528013277b41,100% remoto - 23/05/2025
Functional Data Analyst,sg tech,Madrid - 08/05/2025,https://www.tecnoempleo.com/functional-data-analyst-sg-tech/sql-powerbi-python/rf-8f71116e72ceb3278348,Madrid - 08/05/2025
Data Analyst,sg tech,Madrid (Híbrido) y otras - 02/05/2025,https://www.tecnoempleo.com/data-analyst-sg-tech/python-spark-etl-sql/rf-842a1009c25ef3bf004e,Madrid
Data Analyst - German Speaker,Criteo,Barcelona - 30/04/2025,https://www.tecnoempleo.com/data-analyst-german-speaker-criteo/python-sql/rf-bb59192302619313d543,Barcelona - 30/04/2025
